# sc	tc	usage_score	pinyin	category:upstream_DF
# Generated by scripts/prepare_thuocl_specialists.py; THUOCL a30ce79d895d01ab5132a5c74c29703ff7efb4cc.
# Copyright (c) 2018 THUNLP. MIT: attribution/THUOCL-LICENSE.txt
# Source membership is admission evidence, NOT general frequency or a transition.
一串红大造桥虫	一串紅大造橋蟲	0.020	yichuanhongdazaoqiaochong	animal:0
一串红小地老虎	一串紅小地老虎	0.020	yichuanhongxiaodilaohu	animal:0
一串红朱砂叶螨	一串紅硃砂葉蟎	0.020	yichuanhongzhushayeman	animal:0
一串红白粉虱	一串紅白粉蝨	0.020	yichuanhongbaifenshi	animal:0
一串红白粉蝶	一串紅白粉蝶	0.020	yichuanhongbaifendie	animal:0
一串红绿盲蝽	一串紅綠盲蝽	0.020	yichuanhonglvmangchun	animal:0
一串红银纹夜蛾	一串紅銀紋夜蛾	0.020	yichuanhongyinwenyee	animal:0
一串铃法	一串鈴法	0.040	yichuanlingfa	law:3
一主六配	一主六配	0.040	yizhuliupei	food:2
一事一议制度	一事一議制度	0.020	yishiyiyizhidu	law:61
一事不再理	一事不再理	0.020	yishibuzaili	law:516
一二档	一二檔	0.040	yierdang	car:182
一元多项式	一元多項式	0.020	yiyuanduoxiangshi	IT:393
一切危险保险合同	一切危險保險合同	0.020	yiqieweixianbaoxianhetong	law:1
一切可能措施	一切可能措施	0.020	yiqiekenengcuoshi	law:163
一切合理措施	一切合理措施	0.020	yiqiehelicuoshi	law:51
一切必要措施	一切必要措施	0.020	yiqiebiyaocuoshi	law:2081
一卵孵双凤	一卵孵雙鳳	0.020	yiluanfushuangfeng	food:56
一参一控	一參一控	0.040	yicanyikong	law:504
一口酥	一口酥	0.040	yikousu	food:390
一告九不理	一告九不理	0.020	yigaojiubuli	law:1
一品南乳肉	一品南乳肉	0.020	yipinnanrurou	food:40
一品大包	一品大包	0.040	yipindabao	food:17
一品官燕	一品官燕	0.040	yipinguanyan	food:58
一品寿桃	一品壽桃	0.040	yipinshoutao	food:36
一品烧饼	一品燒餅	0.040	yipinshaobing	food:45
一品熊掌	一品熊掌	0.040	yipinxiongzhang	food:34
一品玉带糕	一品玉帶糕	0.020	yipinyudaigao	food:18
一品红蓟马	一品紅薊馬	0.020	yipinhongjima	animal:0
一品肉	一品肉	0.040	yipinrou	food:84
一品蒸黄鱼	一品蒸黃魚	0.020	yipinzhenghuangyu	food:4
一品薯包	一品薯包	0.040	yipinshubao	food:3
一品豆腐	一品豆腐	0.040	yipindoufu	food:226
一品豆腐汤	一品豆腐湯	0.020	yipindoufutang	food:4
一品配方	一品配方	0.040	yipinpeifang	food:2
一品酥方	一品酥方	0.040	yipinsufang	food:4
一品酸辣鸡	一品酸辣雞	0.020	yipinsuanlaji	food:1
一品香	一品香	0.040	yipinxiang	food:2362
一品香饭店	一品香飯店	0.020	yipinxiangfandian	food:25
一品鲍鱼	一品鮑魚	0.040	yipinbaoyu	food:27
一品鲳	一品鯧	0.040	yipinchang	food:15
一品鲳鱼	一品鯧魚	0.040	yipinchangyu	food:2
一如法界	一如法界	0.040	yirufajie	law:2
一字刺尾鲷	一字刺尾鯛	0.020	yiziciweidiao	animal:0
一字显脉叶蝉	一字顯脈葉蟬	0.020	yizixianmaiyechan	animal:0
一字纹稻苞虫	一字紋稻苞蟲	0.020	yiziwendaobaochong	animal:0
一审判决书	一審判決書	0.020	yishenpanjueshu	law:1864
一审法院	一審法院	0.040	yishenfayuan	law:22870
一审终结	一審終結	0.040	yishenzhongjie	law:143
一审裁定	一審裁定	0.040	yishencaiding	law:1038
一对一联系	一對一聯繫	0.020	yiduiyilianxi	IT:92
一对多	一對多	0.040	yiduiduo	IT:15396
一对多业务	一對多業務	0.020	yiduiduoyewu	law:3
