0		aier	aierlandianziyouxi	愛爾蘭電子遊戲	aierlan	愛爾蘭	-1	0	12	0	3	0
0		aima	aimafurenreyingzhong	愛麻夫人熱映中	aimashi	愛馬仕	-1	0	3	0	2	0
0		anli	anlihui	安理會	anlishuo	按理說	-1	1	10	1	3	91
0		anzhuang	anzhuanghao	安裝好	anzhuangchengxu	安裝程序	-1	1	7	1	1	125
0		anzhuang	anzhuanghaode	安裝好的	anzhuangchengxu	安裝程序	-1	0	7	0	1	0
0		anzhuang	anzhuanghaode	安裝好的	anzhuanghao	安裝好	-1	0	4	0	1	0
0		bafa	bafaliyajunshixueyuan	巴伐利亞軍事學院	bafaliya	巴伐利亞	-1	0	3	0	2	0
0		bafali	bafaliyajunshixueyuan	巴伐利亞軍事學院	bafaliya	巴伐利亞	-1	0	3	0	2	0
0		bage	bagexiaoshi	八個小時	bageda	巴格達	-1	0	5	0	2	0
0		baishi	baishiwucheng	百事無成	baishikele	百事可樂	-1	0	5	0	1	0
0		baiyin	baiyinkaeryucangkongnvwang	白銀卡爾與蒼空女王	baiyinshi	白銀市	-1	0	3	0	2	0
0		balei	baleisitan	巴勒斯坦	baleiwu	芭蕾舞	-1	0	3	0	2	0
0		banren	banrenmazuoaerfaxing	半人馬座阿爾法星	banrenmazuo	半人馬座	-1	0	3	0	1	0
0		banrenma	banrenmazuoaerfaxing	半人馬座阿爾法星	banrenmazuo	半人馬座	-1	0	3	0	1	0
0		baofu	baofuxingyouxi	報復性遊戲	baofuxing	報復性	-1	0	3	0	2	0
0		baoluo	baoluowanyou	包羅萬有	baoluowanxiang	包羅萬象	-1	0	3	0	2	0
0		baoluowan	baoluowanyou	包羅萬有	baoluowanxiang	包羅萬象	-1	0	3	0	2	0
0		baopi	baopiweidiaohuanqieshu	包皮微雕環切術	baopiguozhang	包皮過長	-1	0	4	0	2	0
0		baotou	baotoutongku	抱頭痛哭	baotoushi	包頭市	-1	0	6	0	1	0
0		baoxiao	baoxiaobai	包小柏	baoxiaozuguo	報效祖國	-1	0	3	0	1	0
0		baxiang	baxiangchengdao	八相成道	baxiangyao	靶向藥	-1	0	3	0	3	0
